Street;City;propertycard__detailvalue;quartos;banheiros;vagas;price
Avenida Dória ; Vila Alexandria, São Paulo ;130;2;2;1;R$ 650.000
Rua Balata ; Jardim Guairaca, São Paulo ;276;3;3;6;R$ 950.000
Rua Armando Brussolo ; Vila Romana, São Paulo ;254;3;3;2;R$ 1.900.000
Rua Sargento Antenor Teixeira ; Jabaquara, São Paulo ;350;4;2;1;R$ 940.000
Rua Maria Celina, 73 ; Vila Firmiano Pinto, São Paulo ;140;3;3;2;R$ 799.000
Rua Marituba ; Chácara Monte Alegre, São Paulo ;390;4;3;4;R$ 2.250.000
Avenida Ipanema ; Veleiros, São Paulo ;75;2;2;2;R$ 700.000
Vila Nivi, São Paulo ; SP;72;2;1;2;R$ 380.000
Rua Ubaíra ; Indianópolis, São Paulo ;200;3;4;4;R$ 1.990.000
Rua Bom Pastor ; Ipiranga, São Paulo ;370;4;4;5;R$ 1.200.000
Lar São Paulo, São Paulo ; SP;334;3;3;4;R$ 1.696.000
Cidade Jardim, São Paulo ; SP;841;6;7;4;R$ 5.000.000
Vila Brasílio Machado, São Paulo ; SP;195;3;1;2;R$ 650.000
Rua André Rebouças, 0 ; Vila Piauí, São Paulo ;75;2;2;1;R$ 400.000
Rua Maestro Chiaffarelli ; Jardim Paulista, São Paulo ;210;2;4;2;R$ 3.600.000
Rua Porto Rico, 48 ; Jardim América, São Paulo ;701;4;4;6;R$ 20.200.000
Moema, São Paulo ; SP;220;2;5;4;R$ 2.700.000
Brooklin Paulista, São Paulo ; SP;175;3;4;3;R$ 1.900.000
Avenida Eugênio Bartolomai, 193 ; Jardim Santa Helena, São Paulo ;290;3;3;4;R$ 1.290.000
Rua Domingos Gonçalo ; Jardim Campo Grande, São Paulo ;273;3;4;4;R$ 2.300.000
Jardim Paulista, São Paulo ; SP;170;6;3;1;R$ 1.800.000
Brooklin Paulista, São Paulo ; SP;272;4;5;5;R$ 1.300.000
Rua Sargento Francisco Boeming ; Jardim Anhanguera, São Paulo ;135;2;2;1;R$ 600.000
Largo da Batalha ; Jardim Luzitânia, São Paulo ;300;3;7;3;R$ 5.250.000
Rua Alcindo Guanabara ; Jardim da Glória, São Paulo ;400;3;1;4;R$ 2.500.000
Rua Doutor Fernandes Coelho ; Pinheiros, São Paulo ;490;5;3;5;R$ 7.000.000
Jardim Paulista, São Paulo ; SP;517;4;1;4;R$ 9.500.000
Rua Ribeiro do Vale, 0 ; Brooklin Paulista, São Paulo ;250;3;4;3;R$ 1.590.000
Jardim Guedala, São Paulo ; SP;496;4;6;4;"R$ 14.000
                      /Mês"
Jardim da Saúde, São Paulo ; SP;173;3;1;5;R$ 1.100.000
Rua Josefina Arnoni ; Vila Irmãos Arnoni, São Paulo ;370;3;5;4;R$ 899.000
Alto de Pinheiros, São Paulo ; SP;307;4;5;4;R$ 2.900.000
Cambuci, São Paulo ; SP;165;3;5;3;R$ 1.000.000
Rua Sanharó, 0 ; Jardim Guedala, São Paulo ;286;2;4;4;R$ 1.700.000
Vila Bela Aliança, São Paulo ; SP;300;3;8;5;R$ 2.759.000
Alameda dos Nhambiquaras ; Indianópolis, São Paulo ;355;3;6;4;R$ 4.950.000
Rua Doutor Sebastião Lappetina Russo ; Jardim Promissão, São Paulo ;164;3;3;2;R$ 700.000
Rua Ushi Kamia ; Parque Ramos Freitas, São Paulo ;104;2;1;1;R$ 277.780
Rua Alemanha, 50 ; Jardim Europa, São Paulo ;550;3;4;4;R$ 7.700.000
Brooklin Paulista, São Paulo ; SP;300;4;4;6;"R$ 7.500
                      /Mês"
Rua Áurea Batista dos Santos, 926 ; Vila Morse, São Paulo ;240;3;3;2;R$ 850.000
Belenzinho, São Paulo ; SP;330;2;1;4;R$ 950.000
Ipiranga, São Paulo ; SP;108;3;3;1;R$ 690.000
Rua Saclara, 0 ; Vila Industrial, São Paulo ;90;3;3;3;R$ 280.000
Rua Antônio Peres Mulla ; Vila Carrão, São Paulo ;176;3;2;2;R$ 800.000
Rua Antônio Alves Santos ; Vila Cunha Bueno, São Paulo ;120;2;2;2;R$ 360.000
Pinheiros, São Paulo ; SP;460;4;5;4;R$ 5.500.000
Vila Brasílio Machado, São Paulo ; SP;110;3;1;2;R$ 790.000
Alto de Pinheiros, São Paulo ; SP;291;3;5;3;R$ 3.900.000
Vila Congonhas, São Paulo ; SP;120;3;2;2;R$ 763.200
Chácara Mafalda, São Paulo ; SP;500;5;5;4;R$ 900.000
Rua Sampaio Vidal ; Jardim Paulistano, São Paulo ;250;3;5;4;"R$ 7.500
                      /Mês"
Bosque da Saúde, São Paulo ; SP;131;3;1;2;R$ 850.000
Rua Orlando Ferraiuolo ; Vila Brasilina, São Paulo ;340;3;2;3;R$ 999.000
Sumaré, São Paulo ; SP;265;3;4;5;R$ 1.600.000
Vila Nova Caledônia, São Paulo ; SP;252;3;2;6;R$ 1.500.000
Rua D'Ouro, 50 ; Jardim Luzitânia, São Paulo ;415;3;5;8;R$ 7.980.000
Vila Anhangüera, São Paulo ; SP;167;3;1;3;R$ 795.000
Sumaré, São Paulo ; SP;350;3;2;2;"R$ 10.000
                      /Mês"
Rua José Vicente, 194 ; Tremembé, São Paulo ;450;4;3;8;R$ 1.600.000
Rua Nicolau Magnoli ; Chácara Meyer, São Paulo ;263;3;3;4;R$ 1.300.000
Rua Professor Francisco Maffei ; Interlagos, São Paulo ;453;3;7;6;R$ 2.120.000
Rua Manuel Jacinto ; Vila Morse, São Paulo ;261;3;3;2;R$ 800.000
Rua da Cipaúba, 178 ; Vila São Domingos, São Paulo ;140;3;3;2;R$ 480.000
Parque da Mooca, São Paulo ; SP;170;3;4;10;R$ 965.000
Jardim Guedala, São Paulo ; SP;783;5;6;8;R$ 7.500.000
Rua General Almério de Moura, 0 ; Vila Tramontano, São Paulo ;600;3;4;6;R$ 2.750.000
Indianópolis, São Paulo ; SP;200;4;4;2;R$ 890.000
Rua Timbó ; Mooca, São Paulo ;170;3;3;2;R$ 890.000
Rua Edgard Pereira ; Vila Guarani (Z Sul), São Paulo ;160;3;4;3;R$ 860.000
Rua Coronel Deraldo Jordão ; Vila Firmiano Pinto, São Paulo ;125;3;4;2;R$ 880.000
Rua Sernambitiba ; Vila Império, São Paulo ;128;2;3;4;R$ 650.000
Rua Paulo Orozimbo ; Cambuci, São Paulo ;550;4;6;2;R$ 2.700.000
Rua Manoel Pires do Valle, 146 ; Vila Domitila, São Paulo ;170;3;2;3;R$ 549.000
Rua Constantino de Sousa ; Campo Belo, São Paulo ;440;4;5;4;R$ 1.800.000
Rua Pierre de Beranger ; Campo Grande, São Paulo ;140;3;3;6;R$ 900.000
Rua Jacinto Ribeiro, 54 ; Jardim das Vertentes, São Paulo ;264;4;3;2;R$ 640.000
Rua Francisco Riva ; Conjunto Habitacional Barreira Grande, São Paulo ;100;2;1;2;R$ 350.000
Lapa de Baixo, São Paulo ; SP;292;2;2;2;R$ 830.010
Alto da Lapa, São Paulo ; SP;200;3;3;4;R$ 1.350.000
Rua Moura Brasil, 0 ; Butantã, São Paulo ;450;3;3;4;R$ 1.600.000
Rua Tapes ; Jardim Aeroporto, São Paulo ;152;5;7;4;R$ 839.000
Rua Francisco Zicardi ; Jardim Anália Franco, São Paulo ;340;3;2;3;R$ 1.800.000
Jardim Vila Mariana, São Paulo ; SP;170;3;4;4;R$ 1.800.000
Rua Pau;Brasil ;790;4;5;8;R$ 7.410.000
Vila Marieta, São Paulo ; SP;46;1;1;1;R$ 250.000
Rua Urbanizadora ; Sumaré, São Paulo ;280;5;2;5;R$ 3.000.000
Alameda Franca ; Jardim Paulista, São Paulo ;150;9;2;1;R$ 2.600.000
Santo Amaro, São Paulo ; SP;128;3;1;2;R$ 730.000
Rua João Vilhema, 22 ; Planalto Paulista, São Paulo ;170;3;3;2;"R$ 4.800
                      /Mês"
Rua Votuverava, 0 ; Jardim Guedala, São Paulo ;736;5;3;12;R$ 4.499.000
Rua Guaçuma ; Vila Califórnia, São Paulo ;143;2;1;1;R$ 380.000
Rua Francisco Dias Velho ; Vila Cordeiro, São Paulo ;200;3;4;3;R$ 1.300.000
Rua Padre Germano Mayer, , 73 ; Maranhão, São Paulo ;110;3;4;1;R$ 650.000
Rua Itassuce ; Pacaembu, São Paulo ;2500;3;7;12;R$ 12.500.000
Avenida Barão do Rego Barros ; Vila Congonhas, São Paulo ;450;4;10;8;R$ 1.340.999
Cidade Jardim, São Paulo ; SP;650;5;7;8;R$ 5.300.000
Bosque da Saúde, São Paulo ; SP;427;4;6;10;R$ 1.350.000
Bosque da Saúde, São Paulo ; SP;140;3;1;2;R$ 895.000
Vila Brasilina, São Paulo ; SP;124;2;1;5;R$ 590.000
Rua das Guassatungas ; Vila Parque Jabaquara, São Paulo ;63;2;1;1;R$ 390.000
Brooklin Paulista, São Paulo ; SP;340;3;2;2;R$ 2.660.000
Vila Paulista, São Paulo ; SP;195;2;3;4;R$ 596.000
Rua Marquês Olinda ; Vila Dom Pedro I, São Paulo ;300;7;3;2;R$ 1.300.000
Rua Manuel Rodrigues da Costa ; Vila Guedes, São Paulo ;140;3;2;3;R$ 619.000
Rua Luisiania ; Brooklin Paulista, São Paulo ;260;3;2;4;R$ 2.400.000
Rua Geraldo Flausino Gomes ; Cidade Monções, São Paulo ;375;1;7;8;"R$ 20.000
                      /Mês"
Rua Constantino de Sousa ; Campo Belo, São Paulo ;203;3;2;2;R$ 1.280.000
Mooca, São Paulo ; SP;220;4;2;1;R$ 645.000
Jardim Guedala, São Paulo ; SP;950;4;7;11;R$ 15.000.000
Rio Pequeno, São Paulo ; SP;215;3;3;2;R$ 749.000
Rua General Lauro Cavalcanti de Farias ; Jardim Mangalot, São Paulo ;180;3;4;2;R$ 699.000
Vila Mazzei, São Paulo ; SP;68;2;3;1;R$ 400.000
Rua Itapacurai ; Paraíso do Morumbi, São Paulo ;160;4;3;2;R$ 800.000
Chácara Inglesa, São Paulo ; SP;126;3;2;2;R$ 930.000
Jardim Japão, São Paulo ; SP;300;7;4;2;R$ 1.170.000
Vila Madalena, São Paulo ; SP;276;3;1;6;R$ 1.800.000
Rua Plínio Salgado, 0 ; Jardim Peri Peri, São Paulo ;142;3;2;2;R$ 749.000
Consolação, São Paulo ; SP;322;4;4;10;"R$ 14.000
                      /Mês"
Vila Sônia, São Paulo ; SP;90;2;1;2;R$ 490.000
Planalto Paulista, São Paulo ; SP;463;5;5;6;R$ 2.990.000
Rua Moura Brasil ; Butantã, São Paulo ;300;3;2;4;R$ 1.600.000
Rua Manuel Silva Neto, 231 ; Vila Macedópolis, São Paulo ;210;4;2;3;R$ 740.000
Vila Moraes, São Paulo ; SP;165;4;1;4;R$ 850.000
Rua Antônio Nadruz Dib ; Chora Menino, São Paulo ;256;3;5;4;R$ 823.400
Rua Olegário Mariano, 3773;8888;620;4;8;6;R$ 4.400.000
Rua Francisco Santo Suosso, 0 ; Educandário, São Paulo ;135;2;2;1;R$ 372.000
Avenida José Carlos Pace ; Interlagos, São Paulo ;320;4;5;6;R$ 1.800.000
Vila Nair, São Paulo ; SP;273;2;3;3;R$ 636.000
Rua Almirante Lobo, 16 ; Ipiranga, São Paulo ;125;3;2;1;R$ 530.000
Rua Cubatão ; Vila Mariana, São Paulo ;470;5;5;8;R$ 6.500.000
Rua Holanda ; Jardim Europa, São Paulo ;780;4;9;8;R$ 11.900.000
Pacaembu, São Paulo ; SP;400;2;4;4;R$ 2.150.000
Rua Jandiro Joaquim Pereira, 0 ; Jardim Leonor, São Paulo ;460;4;4;6;R$ 2.550.000
Praça Santos Coimbra ; Morumbi, São Paulo ;550;4;5;6;R$ 3.600.000
Rua Doutor Dolzani ; Jardim da Glória, São Paulo ;160;3;3;3;R$ 1.600.000
Vila Arriete, São Paulo ; SP;236;4;3;5;R$ 1.200.000
Jardim Paulista, São Paulo ; SP;340;3;4;3;R$ 3.980.000
Bosque da Saúde, São Paulo ; SP;379;6;6;4;R$ 4.990.000
Vila Anhangüera, São Paulo ; SP;171;4;1;2;R$ 945.000
Rua Chamantá, 5558 ; Vila Prudente, São Paulo ;240;3;3;3;R$ 800.000
Rua Portugal, 113 ; Jardim Europa, São Paulo ;693;4;4;6;R$ 16.000.000
Cambuci, São Paulo ; SP;300;3;5;4;R$ 2.900.000
Rua Araporé, 579 ; Jardim Guedala, São Paulo ;517;4;8;7;R$ 4.461.000
Rua Doutor João Dalmácio Azevedo ; Cidade Jardim, São Paulo ;1000;4;6;8;R$ 8.400.000
Rua Dom Tomás Costa e Lima, 97 ; Vila Tramontano, São Paulo ;1075;4;5;14;"R$ 50.000
                      /Mês"
Rua Professor Apolinário Porto Alegre ; Jardim D'Abril, São Paulo ;81;2;1;2;R$ 319.800
Jardim Prudência, São Paulo ; SP;242;3;1;2;R$ 1.060.000
Jardim Europa, São Paulo ; SP;725;5;6;5;R$ 21.999.000
Rua Doutor Rubens de Azevedo Marques ; Chácara Monte Alegre, São Paulo ;209;3;4;3;R$ 1.600.000
Rua Irmãos Leme ; Tatuapé, São Paulo ;180;2;3;2;R$ 800.000
Jardim Guedala, São Paulo ; SP;600;4;1;7;R$ 18.000.000
Chácara Santo Antônio (Zona Sul), São Paulo ; SP;200;2;4;2;R$ 1.080.000
Parque Continental, São Paulo ; SP;190;3;3;3;R$ 735.000
Vila das Mercês, São Paulo ; SP;161;4;1;8;R$ 850.000
Jardim Sarah, São Paulo ; SP;250;3;2;2;R$ 680.000
Saúde, São Paulo ; SP;154;3;1;4;R$ 500.000
Rua Primavera, 78 ; Jardim Paulista, São Paulo ;665;4;3;6;R$ 5.500.000
Rua Emílio do Lago ; Jardim Vila Formosa, São Paulo ;175;2;1;2;R$ 500.000
Rio Pequeno, São Paulo ; SP;140;3;3;2;R$ 600.000
Rua Arlindo Veiga dos Santos ; Vila Campo Grande, São Paulo ;87;3;2;1;R$ 795.000
Vila Formosa, São Paulo ; SP;136;2;1;1;R$ 480.000
Rua Iraci ; Jardim Paulistano, São Paulo ;200;3;3;2;R$ 2.500.000
Rua General Sena Vasconcelos ; Jardim Guedala, São Paulo ;400;4;6;5;R$ 1.700.000
Rua Racine ; Alto da Lapa, São Paulo ;400;4;7;5;R$ 2.650.000
Avenida Ireré, 538 ; Planalto Paulista, São Paulo ;356;4;5;4;R$ 2.500.000
Rua Comendador Roque Licciardi, 0 ; Jardim das Vertentes, São Paulo ;200;3;4;7;R$ 1.200.000
Vila Arriete, São Paulo ; SP;250;3;1;3;R$ 750.000
Travessa Pacheco Lima ; Vila Ema, São Paulo ;106;3;2;1;R$ 420.000
Rua Bartolomeu Paes ; Vila Anastácio, São Paulo ;187;3;4;6;R$ 900.000
Rua Brentano ; Vila Hamburguesa, São Paulo ;160;3;2;2;R$ 1.349.000
Rua Geremia Lunardelli, 0 ; Jardim Peri Peri, São Paulo ;90;2;1;2;R$ 800.000
Avenida Itacira ; Planalto Paulista, São Paulo ;636;4;5;4;"R$ 35.000
                      /Mês"
Rua Guararapes ; Lapa, São Paulo ;560;3;4;6;R$ 1.300.000
Rua Engenheiro Toledo Malta ; Saúde, São Paulo ;140;3;2;2;R$ 680.000
Rua Padre Agostinho Mendicute ; Sumaré, São Paulo ;120;3;2;2;R$ 980.000
Rua Angá, 598 ; Vila Formosa, São Paulo ;234;2;2;1;R$ 957.000
Rua Ubatã ; Cidade Dutra, São Paulo ;180;2;1;4;R$ 530.000
Pacaembu, São Paulo ; SP;660;3;5;12;R$ 9.000.000
Avenida Nova Cantareira ; Tucuruvi, São Paulo ;349;4;6;5;R$ 855.159
Rua Iquiririm ; Vila Indiana, São Paulo ;200;4;2;3;R$ 1.200.000
Avenida Moaci ; Planalto Paulista, São Paulo ;380;3;6;4;R$ 1.690.000
Vila Alpina, São Paulo ; SP;300;4;3;8;R$ 1.095.000
Rua Correia de Lemos ; Chácara Inglesa, São Paulo ;80;2;1;3;R$ 2.200.000
Avenida Manoel dos Reis Araújo ; Jardim Marajoara, São Paulo ;266;3;3;5;"R$ 9.000
                      /Mês"
Rua Araporã, 162 ; Vila Polopoli, São Paulo ;61;2;2;2;R$ 419.000
Avenida Sílvio Sciumbata ; Interlagos, São Paulo ;180;2;2;6;R$ 750.000
Vila Congonhas, São Paulo ; SP;350;3;4;3;R$ 1.750.000
Rua Cláudio Rossi ; Jardim da Glória, São Paulo ;180;3;2;2;R$ 650.000
Rua Doutor Gentil Leite Martins ; Vila Nova Caledônia, São Paulo ;266;3;2;4;R$ 1.500.000
Brooklin Paulista, São Paulo ; SP;500;3;4;8;R$ 1.850.000
Butantã, São Paulo ; SP;300;3;5;4;R$ 1.600.000
Rua Vicente Pelosi, 36 ; Vila Gomes, São Paulo ;120;3;3;2;R$ 878.000
Rua das Hortênsias ; Mirandópolis, São Paulo ;180;3;3;2;R$ 970.000
Belenzinho, São Paulo ; SP;200;3;1;1;R$ 1.200.000
Avenida Piassanguaba ; Planalto Paulista, São Paulo ;190;3;4;1;R$ 650.000
Rua Costa Aguiar ; Ipiranga, São Paulo ;230;3;2;2;R$ 1.100.000
Rua Tapes ; Jardim Aeroporto, São Paulo ;152;5;7;4;R$ 839.000
Rua Francisco Zicardi ; Jardim Anália Franco, São Paulo ;340;3;2;3;R$ 1.800.000
Jardim Vila Mariana, São Paulo ; SP;170;3;4;4;R$ 1.800.000
Rua Pau;Brasil ;790;4;5;8;R$ 7.410.000
Vila Marieta, São Paulo ; SP;46;1;1;1;R$ 250.000
Rua Urbanizadora ; Sumaré, São Paulo ;280;5;2;5;R$ 3.000.000
Alameda Franca ; Jardim Paulista, São Paulo ;150;9;2;1;R$ 2.600.000
Santo Amaro, São Paulo ; SP;128;3;1;2;R$ 730.000
Rua João Vilhema, 22 ; Planalto Paulista, São Paulo ;170;3;3;2;"R$ 4.800
                      /Mês"
Rua Votuverava, 0 ; Jardim Guedala, São Paulo ;736;5;3;12;R$ 4.499.000
Rua Guaçuma ; Vila Califórnia, São Paulo ;143;2;1;1;R$ 380.000
Rua Francisco Dias Velho ; Vila Cordeiro, São Paulo ;200;3;4;3;R$ 1.300.000
Rua Padre Germano Mayer, , 73 ; Maranhão, São Paulo ;110;3;4;1;R$ 650.000
Rua Itassuce ; Pacaembu, São Paulo ;2500;3;7;12;R$ 12.500.000
Avenida Barão do Rego Barros ; Vila Congonhas, São Paulo ;450;4;10;8;R$ 1.340.999
Cidade Jardim, São Paulo ; SP;650;5;7;8;R$ 5.300.000
Bosque da Saúde, São Paulo ; SP;427;4;6;10;R$ 1.350.000
Bosque da Saúde, São Paulo ; SP;140;3;1;2;R$ 895.000
Vila Brasilina, São Paulo ; SP;124;2;1;5;R$ 590.000
Rua das Guassatungas ; Vila Parque Jabaquara, São Paulo ;63;2;1;1;R$ 390.000
Brooklin Paulista, São Paulo ; SP;340;3;2;2;R$ 2.660.000
Vila Paulista, São Paulo ; SP;195;2;3;4;R$ 596.000
Rua Marquês Olinda ; Vila Dom Pedro I, São Paulo ;300;7;3;2;R$ 1.300.000
Rua Manuel Rodrigues da Costa ; Vila Guedes, São Paulo ;140;3;2;3;R$ 619.000
Rua Luisiania ; Brooklin Paulista, São Paulo ;260;3;2;4;R$ 2.400.000
Rua Geraldo Flausino Gomes ; Cidade Monções, São Paulo ;375;1;7;8;"R$ 20.000
                      /Mês"
Rua Constantino de Sousa ; Campo Belo, São Paulo ;203;3;2;2;R$ 1.280.000
Mooca, São Paulo ; SP;220;4;2;1;R$ 645.000
Jardim Guedala, São Paulo ; SP;950;4;7;11;R$ 15.000.000
Rio Pequeno, São Paulo ; SP;215;3;3;2;R$ 749.000
Rua General Lauro Cavalcanti de Farias ; Jardim Mangalot, São Paulo ;180;3;4;2;R$ 699.000
Vila Mazzei, São Paulo ; SP;68;2;3;1;R$ 400.000
Rua Itapacurai ; Paraíso do Morumbi, São Paulo ;160;4;3;2;R$ 800.000
Chácara Inglesa, São Paulo ; SP;126;3;2;2;R$ 930.000
Jardim Japão, São Paulo ; SP;300;7;4;2;R$ 1.170.000
Vila Madalena, São Paulo ; SP;276;3;1;6;R$ 1.800.000
Rua Lactâncio, 537 ; Vila Nova Curuçá, São Paulo ;254;2;1;6;R$ 900.000
Rua Duque de Caxias, 298 ; Santo Amaro, São Paulo ;7126;7;2;20;"R$ 80.000
                      /Mês"
Rua Mesquita ; Vila Deodoro, São Paulo ;240;3;3;4;R$ 1.450.000
Jardim Paulista, São Paulo ; SP;760;4;7;4;R$ 15.000.000
Praia Paulistinha, São Paulo ; SP;140;2;1;1;R$ 350.000
Avenida Benjamim Mansur, 26 ; Instituto de Previdência, São Paulo ;126;3;2;2;R$ 870.000
Vila Morumbi, São Paulo ; SP;498;4;6;6;"R$ 15.000
                      /Mês"
Cidade Monções, São Paulo ; SP;150;3;3;2;R$ 1.780.000
Rua Doutor Inácio Arruda ; Vila Monumento, São Paulo ;240;3;4;5;R$ 1.300.000
Vila Madalena, São Paulo ; SP;354;4;6;2;"R$ 10.000
                      /Mês"
Vila Nova Curuçá, São Paulo ; SP;94;1;1;1;R$ 200.038
Jardim da Saúde, São Paulo ; SP;300;3;4;4;R$ 1.800.000
Rua Sibipiruna, 466 ; Parque dos Príncipes, São Paulo ;720;3;3;6;R$ 5.000.000
Vila Santa Catarina, São Paulo ; SP;117;3;1;3;R$ 550.000
Avenida Nossa Senhora da Assunção ; Vila Butantã, São Paulo ;200;4;3;5;R$ 1.060.000
Jardim Paulista, São Paulo ; SP;468;4;5;4;R$ 5.700.000
Rua Evaristo da Veiga, 81 ; Catumbi, São Paulo ;125;2;3;2;R$ 749.000
Rua Américo Vespucci, , 282 ; Vila Prudente, São Paulo ;100;2;2;1;R$ 640.000
Rua Conceição Veloso ; Vila Mariana, São Paulo ;118;3;2;1;R$ 1.200.000
Jardim da Saúde, São Paulo ; SP;381;4;1;6;R$ 1.900.000
Rua Adriano Silva, 0 ; Parque dos Príncipes, São Paulo ;445;4;4;8;R$ 2.450.000
Planalto Paulista, São Paulo ; SP;314;3;7;4;R$ 1.450.000
Boaçava, São Paulo ; SP;944;6;7;6;R$ 8.000.000
Rua Jean Arp ; São Judas, São Paulo ;150;4;3;6;R$ 765.000
Retiro Morumbi, São Paulo ; SP;900;4;7;8;"R$ 35.000
                      /Mês"
Rua José Baldino ; Vila Cleonice, São Paulo ;120;3;1;2;R$ 480.000
Rua Tucuna, 250 ; Pompeia, São Paulo ;340;3;3;8;R$ 2.300.000
Rua Vergueiro ; São Paulo ;98;3;2;2;R$ 640.000
Rua Cavintu ; Vila Neila, São Paulo ;140;3;2;5;R$ 470.000
Morumbi, São Paulo ; SP;400;4;5;5;R$ 2.450.000
Alto de Pinheiros, São Paulo ; SP;461;4;5;7;R$ 2.650.000
Rua José Galdino da Silva ; Interlagos, São Paulo ;237;3;5;8;R$ 1.200.000
Rua Mennucci ; Jabaquara, São Paulo ;130;2;2;1;R$ 550.000
Jardim Cordeiro, São Paulo ; SP;270;3;4;3;R$ 2.100.000
Avenida Amarilis ; Cidade Jardim, São Paulo ;840;4;5;8;R$ 5.900.000
Rua Wanderley ; Pacaembu, São Paulo ;130;2;2;1;R$ 800.000
Rua Portugal ; Jardim Europa, São Paulo ;319;3;4;2;R$ 5.000.000
Granja Julieta, São Paulo ; SP;382;4;1;4;R$ 2.400.000
Vila Gomes, São Paulo ; SP;82;2;2;2;R$ 467.000
Caxingui, São Paulo ; SP;400;3;4;4;R$ 2.197.000
Rua Paulo da Costa Leite, 150 ; Jardim Riviera, São Paulo ;260;4;2;4;R$ 2.800.000
Rua Rafael Carrozzo ; Paraíso do Morumbi, São Paulo ;181;3;5;4;R$ 890.000
Rua Doutor Wladimir do Amaral ; Jardim Peri Peri, São Paulo ;240;3;5;6;R$ 1.100.000
Rua Dona Balduína ; Sumaré, São Paulo ;450;4;4;5;R$ 3.750.000
Avenida Água Funda, 182 ; Vila Guarani (Z Sul), São Paulo ;250;6;5;2;R$ 784.000
Rua Turquia ; Jardim Europa, São Paulo ;500;4;8;4;R$ 12.000.000
Vila Madalena, São Paulo ; SP;277;3;3;2;R$ 2.400.000
Vila Dom Pedro I, São Paulo ; SP;160;3;1;2;R$ 690.000
Rua Jorge Tibiriçá ; Vila Mariana, São Paulo ;240;3;2;2;"R$ 6.000
                      /Mês"
Vila Madalena, São Paulo ; SP;580;4;5;4;R$ 3.200.000
Rua João Dias Cerqueira ; Bortolândia, São Paulo ;175;3;4;3;R$ 635.000
Rua Georgina de Albuquerque ; Parque Jabaquara, São Paulo ;197;4;4;3;R$ 849.000
Rua Berlinghieri, 84 ; Jardim Dracena, São Paulo ;176;4;4;3;R$ 520.000
Rua das Camélias ; Mirandópolis, São Paulo ;143;3;4;3;R$ 900.000
Chácara Monte Alegre, São Paulo ; SP;289;4;3;6;R$ 1.600.000
Rua Colombo Florence ; Parque Fongaro, São Paulo ;286;4;4;5;R$ 850.000
Bosque da Saúde, São Paulo ; SP;135;2;1;1;R$ 669.000
Rua Filipe de Lorenzo ; Vila Isolina Mazzei, São Paulo ;160;3;2;3;R$ 580.000
Rua Terra Branca, 54 ; Vila Paranaguá, São Paulo ;90;2;1;1;R$ 300.004
Saúde, São Paulo ; SP;210;3;1;4;R$ 870.000
Rua dos Viajantes ; Vila Monumento, São Paulo ;186;4;2;1;R$ 690.000
Vila Cruzeiro, São Paulo ; SP;128;3;2;1;R$ 950.000
Alto de Pinheiros, São Paulo ; SP;248;3;5;3;R$ 3.900.000
Vila Ayrosa, São Paulo ; SP;200;3;3;2;R$ 340.000
Rua Orestes Colombari, 35 ; Jardim Cláudia, São Paulo ;85;2;2;3;R$ 380.000
Avenida Manoel dos Reis Araújo ; Jardim Marajoara, São Paulo ;457;4;6;4;R$ 2.500.000
Bosque da Saúde, São Paulo ; SP;140;2;2;2;R$ 678.000
Rua Alvorada do Sul, 3773;8888;678;4;8;8;R$ 6.895.000
Rua Professora Haidêe Silva Martins ; Jardim Campo Grande, São Paulo ;280;3;5;6;R$ 1.750.000
Vila Nair, São Paulo ; SP;124;2;1;2;R$ 649.990
Travessa Joan Miró ; Planalto Paulista, São Paulo ;390;4;6;5;R$ 1.600.000
Jardim Paulista, São Paulo ; SP;650;4;6;8;"R$ 48.000
                      /Mês"
Jardim Dom Bosco, São Paulo ; SP;135;4;3;5;R$ 1.050.000
Rua José Piragibe, 340 ; Vila Indiana, São Paulo ;91;2;2;1;R$ 720.000
Avenida Iraí ; Indianópolis, São Paulo ;420;4;1;4;R$ 1.990.000
Vila Vera, São Paulo ; SP;220;3;1;2;R$ 795.000
Jardim Ester, São Paulo ; SP;100;3;2;2;R$ 465.000
Rua José Modesto de Godói ; Saúde, São Paulo ;90;4;3;2;R$ 470.000
Indianópolis, São Paulo ; SP;100;3;2;2;R$ 2.500.000
Rua das Fiandeiras, 201 ; Vila Olímpia, São Paulo ;300;3;4;2;R$ 3.900.000
Rua Jabebira ; Jardim Everest, São Paulo ;750;5;9;4;R$ 8.000.000
Avenida Professor Fonseca Rodrigues ; Alto de Pinheiros, São Paulo ;473;5;7;4;R$ 6.600.000
Rua Francisco de Assis Araújo, 79 ; Jardim Ubirajara, São Paulo ;98;3;2;3;R$ 509.000
Jardim Prudência, São Paulo ; SP;150;3;3;2;R$ 740.000
Rua Alemanha, 50 ; Jardim Europa, São Paulo ;550;4;8;4;R$ 15.958.000
Rua Palmeira D'Oeste, 70 ; Chácara Belenzinho, São Paulo ;300;5;4;4;R$ 515.000
Consolação, São Paulo ; SP;850;9;8;25;"R$ 28.000
                      /Mês"
Rua Barão de Juparanã ; Vila Zelina, São Paulo ;327;4;4;5;R$ 1.600.000
Rua Ermilo Borba Filho ; Campo Belo, São Paulo ;250;4;2;2;R$ 970.000
Alto de Pinheiros, São Paulo ; SP;357;3;4;5;R$ 3.600.000
